text,label
"Technical Marketing Services Agreement
Contract Number: AGMT-2025-1382
Date: 21-10-2022
PARTIES
This Agreement is made between Advanced Ventures Partners (hereinafter referred to as 'Party A') AND Elite Ventures LLC (hereinafter referred to as 'Party B').

TERMS AND CONDITIONS
1. All intellectual property created under this Agreement shall be owned by the creating party.
2. This Agreement constitutes the entire understanding between the parties and supersedes all prior agreements.
3. Party A shall provide software development in accordance with the specifications outlined in Exhibit A.


SIGNATURES",Contract
"Commercial Non-Disclosure Agreement
Contract Number: AGMT-2025-1648
Date: 18-12-2021
PARTIES
This Agreement is made between David Martinez (hereinafter referred to as 'Party A') AND Global Tech Partners (hereinafter referred to as 'Party B').

TERMS AND CONDITIONS
1. The parties agree to maintain appropriate insurance coverage throughout the term of this Agreement.
2. Party B shall compensate Party A at the rate of $150 per day for services rendered.
3. Limitation of liability shall not exceed $100000 for any claim arising from this Agreement.


SIGNATURES",Contract
"Exclusive Service Agreement
Contract Number: AGMT-2025-1963
Date: 13-03-2020
PARTIES
This Agreement is made between Nexus Ventures Partners (hereinafter referred to as 'Party A') AND Global Logistics Partners (hereinafter referred to as 'Party B').

TERMS AND CONDITIONS
1. Party A shall provide consulting services in accordance with the specifications outlined in Exhibit A.
2. Neither party may assign this Agreement without the prior written consent of the other party.
3. Party B shall compensate Party A at the rate of $75 per month for services rendered.


SIGNATURES",Contract
"Binding Loan Agreement
Contract Number: AGMT-2025-2037
Date: 13-04-2022
PARTIES
This Agreement is made between Nexus Logistics Associates (hereinafter referred to as 'Party A') AND Nexus Group LLC (hereinafter referred to as 'Party B').

TERMS AND CONDITIONS
1. Party B shall compensate Party A at the rate of $50 per week for services rendered.
2. Limitation of liability shall not exceed $25000 for any claim arising from this Agreement.
3. All disputes arising out of or relating to this Agreement shall be resolved through binding arbitration in Phoenix.


SIGNATURES",Contract
"Exclusive Lease Agreement
Contract Number: AGMT-2025-2128
Date: 12-12-2022
PARTIES
This Agreement is made between Omega Systems Partners (hereinafter referred to as 'Party A') AND Superior Tech Co (hereinafter referred to as 'Party B').

TERMS AND CONDITIONS
1. Party A warrants that the services will be performed in a professional and workmanlike manner.
2. Either party may terminate this Agreement with 90 days written notice.
3. All intellectual property created under this Agreement shall be owned by Party A.


SIGNATURES",Contract
"Professional Marketing Services Agreement
Contract Number: AGMT-2025-2435
Date: 12-04-2023
PARTIES
This Agreement is made between Alpha Tech International (hereinafter referred to as 'Party A') AND Omega Enterprises Group (hereinafter referred to as 'Party B').

TERMS AND CONDITIONS
1. All disputes arising out of or relating to this Agreement shall be resolved through binding arbitration in Los Angeles.
2. Party A shall provide consulting services in accordance with the specifications outlined in Exhibit A.
3. The term of this Agreement shall be six months from the effective date.


SIGNATURES",Contract
"Exclusive Loan Agreement
Contract Number: AGMT-2025-2901
Date: 16-01-2023
PARTIES
This Agreement is made between John Martinez (hereinafter referred to as 'Party A') AND Joseph Miller (hereinafter referred to as 'Party B').

TERMS AND CONDITIONS
1. Limitation of liability shall not exceed $50000 for any claim arising from this Agreement.
2. This Agreement shall be governed by and construed in accordance with the laws of the State of Florida.
3. All intellectual property created under this Agreement shall be owned by Party A.


SIGNATURES",Contract
"Binding Employment Contract
Contract Number: AGMT-2025-3234
Date: 20-08-2020
PARTIES
This Agreement is made between Elite Industries Corp (hereinafter referred to as 'Party A') AND David Johnson (hereinafter referred to as 'Party B').

TERMS AND CONDITIONS
1. Any modification to this Agreement must be in writing and signed by both parties.
2. This Agreement shall be governed by and construed in accordance with the laws of the State of Illinois.
3. Party A shall provide maintenance services in accordance with the specifications outlined in Exhibit A.


SIGNATURES",Contract
"Non-Exclusive Partnership Agreement
Contract Number: AGMT-2025-3334
Date: 17-08-2023
PARTIES
This Agreement is made between Peak Tech Inc (hereinafter referred to as 'Party A') AND Michael Jones (hereinafter referred to as 'Party B').

TERMS AND CONDITIONS
1. All intellectual property created under this Agreement shall be owned by the creating party.
2. All confidential information disclosed during the term of this Agreement shall remain confidential for 5 years.
3. Party A shall provide technical support in accordance with the specifications outlined in Exhibit A.


SIGNATURES",Contract
"Technical Service Agreement
Contract Number: AGMT-2025-3451
Date: 15-12-2020
PARTIES
This Agreement is made between Advanced Dynamics Worldwide (hereinafter referred to as 'Party A') AND David Rodriguez (hereinafter referred to as 'Party B').

TERMS AND CONDITIONS
1. Neither party may assign this Agreement without the prior written consent of the other party.
2. Either party may terminate this Agreement with 30 days written notice.
3. Any modification to this Agreement must be in writing and signed by both parties.


SIGNATURES",Contract
